# sqrt_k_eta0 h omega_b omega_cdm A_s n_s
3.35722982e+00 6.90587381e-01 2.18161517e-02 1.16644693e-01 2.14351553e-09 9.62768781e-01
3.48650903e+00 6.92547169e-01 2.18146886e-02 1.27020434e-01 2.22098100e-09 9.70080099e-01
3.40512437e+00 6.87305815e-01 2.19208598e-02 1.18842256e-01 2.02657029e-09 9.62085981e-01
3.76775501e+00 7.05337864e-01 2.21442389e-02 1.23643931e-01 1.99790974e-09 9.59346336e-01
3.85932157e+00 7.05045504e-01 2.22254962e-02 1.17726546e-01 2.13093622e-09 9.62690458e-01
3.36627319e+00 6.83499601e-01 2.14711181e-02 1.19388057e-01 2.02480790e-09 9.64469563e-01
3.89145994e+00 7.12190237e-01 2.19012441e-02 1.24959920e-01 2.08642779e-09 9.70720167e-01
3.43062951e+00 7.12065643e-01 2.22527145e-02 1.18978038e-01 2.05543116e-09 9.66873467e-01
3.40767922e+00 6.63509909e-01 2.21250856e-02 1.24091490e-01 2.21074246e-09 9.65363748e-01
3.52997827e+00 7.04359140e-01 2.18210374e-02 1.13034024e-01 1.99477443e-09 9.70746411e-01
3.48475852e+00 6.51594111e-01 2.17875341e-02 1.20949489e-01 2.10009574e-09 9.65261013e-01
3.32649518e+00 6.99394399e-01 2.21880979e-02 1.17430253e-01 2.20401792e-09 9.60668311e-01
3.68584272e+00 6.95275527e-01 2.21283636e-02 1.18673358e-01 2.23940722e-09 9.60693032e-01
3.56150680e+00 6.82576247e-01 2.20841704e-02 1.15154356e-01 2.07411331e-09 9.62673413e-01
3.34791587e+00 7.09291496e-01 2.17859518e-02 1.23216891e-01 2.08432645e-09 9.73041560e-01
3.42257911e+00 6.80441275e-01 2.19465565e-02 1.21933351e-01 2.05996673e-09 9.66799522e-01
3.67991879e+00 6.96968504e-01 2.14884132e-02 1.20643227e-01 2.10765251e-09 9.63811183e-01
3.34114520e+00 6.82296400e-01 2.19625007e-02 1.18025760e-01 2.08845870e-09 9.63597022e-01
3.60893948e+00 6.82044874e-01 2.21781747e-02 1.15395259e-01 1.83876973e-09 9.69565001e-01
3.42657290e+00 7.07671665e-01 2.19125940e-02 1.21389955e-01 1.97698210e-09 9.67284313e-01
3.61201224e+00 6.95489520e-01 2.22699452e-02 1.25401199e-01 2.06133467e-09 9.68463958e-01
3.94944672e+00 6.71795077e-01 2.19243517e-02 1.18616717e-01 2.13800625e-09 9.65755979e-01
3.86465964e+00 6.54708228e-01 2.18170043e-02 1.18084143e-01 2.20471845e-09 9.68695794e-01
3.57716997e+00 7.08116049e-01 2.20576904e-02 1.18260846e-01 2.13587556e-09 9.63447020e-01
4.02574926e+00 7.28192094e-01 2.19789131e-02 1.22801713e-01 2.30928519e-09 9.64452113e-01
3.41390212e+00 7.06549945e-01 2.22606026e-02 1.14362391e-01 2.08558741e-09 9.62134344e-01
3.62072284e+00 6.70085629e-01 2.17650213e-02 1.30455996e-01 2.03106926e-09 9.61993389e-01
3.72725619e+00 6.76847117e-01 2.21229360e-02 1.24085564e-01 2.16682725e-09 9.61761858e-01
3.41837509e+00 7.30245788e-01 2.20190235e-02 1.24738674e-01 2.16370329e-09 9.62842902e-01
3.58897980e+00 6.77281484e-01 2.19658987e-02 1.15367651e-01 2.21045991e-09 9.67536952e-01
3.85193667e+00 7.19298616e-01 2.19131108e-02 1.16481589e-01 2.03051618e-09 9.69905496e-01
3.69145573e+00 7.02313973e-01 2.22028085e-02 1.15459969e-01 2.07366294e-09 9.70225701e-01
3.27783180e+00 6.79467586e-01 2.22483146e-02 1.19372962e-01 1.85509045e-09 9.60864208e-01
3.91990673e+00 7.09481415e-01 2.20302652e-02 1.17831307e-01 2.05245038e-09 9.65425610e-01
3.33835436e+00 7.43463695e-01 2.21129122e-02 1.19238077e-01 2.00830656e-09 9.61096746e-01
4.04246054e+00 7.01478614e-01 2.23637189e-02 1.13673876e-01 2.02256366e-09 9.67211746e-01
3.62121228e+00 7.78550561e-01 2.19489749e-02 1.23416549e-01 2.06351935e-09 9.65524407e-01
3.46047722e+00 7.26712989e-01 2.19697922e-02 1.21771751e-01 2.19415712e-09 9.67133456e-01
3.67125324e+00 6.99797694e-01 2.22831506e-02 1.22264422e-01 2.14564874e-09 9.65779152e-01
3.46898925e+00 6.88695398e-01 2.26353746e-02 1.23838130e-01 2.00246602e-09 9.60533032e-01
3.37912473e+00 6.82024896e-01 2.17266735e-02 1.21805607e-01 1.94127782e-09 9.62068845e-01
3.49708747e+00 6.87762479e-01 2.19936803e-02 1.20936512e-01 2.12719363e-09 9.69923077e-01
3.85766123e+00 7.17036270e-01 2.16941639e-02 1.13793140e-01 2.12972929e-09 9.66379165e-01
3.52037933e+00 7.08588081e-01 2.19428111e-02 1.11086252e-01 2.10665588e-09 9.66959859e-01
3.97358517e+00 7.41408756e-01 2.19509234e-02 1.23049208e-01 2.11290155e-09 9.67508304e-01
3.38755305e+00 6.70009931e-01 2.21090308e-02 1.21603293e-01 1.90537696e-09 9.67020127e-01
3.41790217e+00 6.95606074e-01 2.20816111e-02 1.17587418e-01 2.06388674e-09 9.67256098e-01
3.38867669e+00 7.27839001e-01 2.16477465e-02 1.16353467e-01 2.16583393e-09 9.58682137e-01
3.69154120e+00 6.96334638e-01 2.18629032e-02 1.20425725e-01 2.06817639e-09 9.66734852e-01
3.71436519e+00 7.11342121e-01 2.20163154e-02 1.18790661e-01 2.02730836e-09 9.65721340e-01
3.49595825e+00 7.07961842e-01 2.18166130e-02 1.19669399e-01 1.90603092e-09 9.70631977e-01
3.90248130e+00 7.10529862e-01 2.19466138e-02 1.23449136e-01 2.10838031e-09 9.57510644e-01
3.40744180e+00 7.01601337e-01 2.20257453e-02 1.18083519e-01 2.03597195e-09 9.67983895e-01
3.47549059e+00 7.18725786e-01 2.21500037e-02 1.19773140e-01 2.33006745e-09 9.67277990e-01
3.89788194e+00 7.25285006e-01 2.18476326e-02 1.18673532e-01 1.92486846e-09 9.67515576e-01
3.65650037e+00 6.73237211e-01 2.18998786e-02 1.20486580e-01 2.27083235e-09 9.61116002e-01
3.47613353e+00 6.85465837e-01 2.22443311e-02 1.22014797e-01 1.96121259e-09 9.65819406e-01
3.72074104e+00 7.10913606e-01 2.20470954e-02 1.20447340e-01 1.97484962e-09 9.53202626e-01
3.72692683e+00 7.02483140e-01 2.22595245e-02 1.13252266e-01 2.20895390e-09 9.73243527e-01
3.55175293e+00 6.81042556e-01 2.21352588e-02 1.17386575e-01 2.03477047e-09 9.67115310e-01
3.67155865e+00 7.03772987e-01 2.21738834e-02 1.19797330e-01 2.02836354e-09 9.64586965e-01
3.37179268e+00 6.89984462e-01 2.19221397e-02 1.18104598e-01 2.11286643e-09 9.65614777e-01
3.68895801e+00 7.02570633e-01 2.20505060e-02 1.16237445e-01 2.20021454e-09 9.62898340e-01
3.42251981e+00 7.36626272e-01 2.18153941e-02 1.22802151e-01 2.01078488e-09 9.74202960e-01
3.43644694e+00 7.10275193e-01 2.21247174e-02 1.25956824e-01 2.29404787e-09 9.67172949e-01
3.70123818e+00 7.33240290e-01 2.17621595e-02 1.20374390e-01 2.04608361e-09 9.59250418e-01
3.63758748e+00 6.90990911e-01 2.18966244e-02 1.19617457e-01 2.13164238e-09 9.67413339e-01
3.30108171e+00 6.97782118e-01 2.20482579e-02 1.17669420e-01 2.07588873e-09 9.65945442e-01
3.62494415e+00 7.20926520e-01 2.19453816e-02 1.17860664e-01 2.06934367e-09 9.64351029e-01
3.38335356e+00 7.14168030e-01 2.23041486e-02 1.21161373e-01 2.03169337e-09 9.61198749e-01
3.68014199e+00 6.97478566e-01 2.20796410e-02 1.20566554e-01 2.07358586e-09 9.63191152e-01
3.75164039e+00 6.89688330e-01 2.18817595e-02 1.23586983e-01 2.00285625e-09 9.72363240e-01
3.63077625e+00 6.94518321e-01 2.16430149e-02 1.23924027e-01 2.01262829e-09 9.60937462e-01
3.51775129e+00 7.29312423e-01 2.17987562e-02 1.16391409e-01 2.17527691e-09 9.63037966e-01
3.49506556e+00 6.86016083e-01 2.20704722e-02 1.20272410e-01 2.00696583e-09 9.68381598e-01
3.60329448e+00 7.16899259e-01 2.23701668e-02 1.20088297e-01 1.96308210e-09 9.68548814e-01
3.60286624e+00 6.98516906e-01 2.19902870e-02 1.24940086e-01 2.05667051e-09 9.70564142e-01
3.76404215e+00 6.95051531e-01 2.20604541e-02 1.22175921e-01 2.00576315e-09 9.59934469e-01
3.78744991e+00 6.85597955e-01 2.16812097e-02 1.18498009e-01 2.00412962e-09 9.68177346e-01
3.27897843e+00 7.10874205e-01 2.21850333e-02 1.14121486e-01 2.06004077e-09 9.70669371e-01
3.42047827e+00 7.36896100e-01 2.22506336e-02 1.14036270e-01 2.09722661e-09 9.70500944e-01
3.59495837e+00 6.86642396e-01 2.14263965e-02 1.20842754e-01 2.22871553e-09 9.62702776e-01
3.69906533e+00 7.07920992e-01 2.21177596e-02 1.14872971e-01 2.30299226e-09 9.62992222e-01
3.56814309e+00 6.70075674e-01 2.20022895e-02 1.21677784e-01 2.30512139e-09 9.63524939e-01
3.26214906e+00 7.02953623e-01 2.19638003e-02 1.20632236e-01 2.06033846e-09 9.63399053e-01
3.43502087e+00 6.95111191e-01 2.22438915e-02 1.18265478e-01 2.18611839e-09 9.63661985e-01
3.63191199e+00 6.80316710e-01 2.21508170e-02 1.18862433e-01 2.13247975e-09 9.61458302e-01
3.34382130e+00 7.03922199e-01 2.21909288e-02 1.16796115e-01 2.10158515e-09 9.69350213e-01
3.47375144e+00 6.99546214e-01 2.21371758e-02 1.22076717e-01 2.11827019e-09 9.65818590e-01
3.54680273e+00 6.99995454e-01 2.22478905e-02 1.16721139e-01 2.07396111e-09 9.67076561e-01
3.62861833e+00 6.97666445e-01 2.22993488e-02 1.14062902e-01 1.93288172e-09 9.68668694e-01
3.44839717e+00 7.41295848e-01 2.18298443e-02 1.21997803e-01 2.09207336e-09 9.59386829e-01
3.91578958e+00 7.00007381e-01 2.21801770e-02 1.18180523e-01 2.01354534e-09 9.69516480e-01
3.61157488e+00 6.91325227e-01 2.20185395e-02 1.14408719e-01 2.24578227e-09 9.64292972e-01
3.54915194e+00 6.74731250e-01 2.20904525e-02 1.16639530e-01 2.04973219e-09 9.67053570e-01
3.92833060e+00 7.11615801e-01 2.16585319e-02 1.19286578e-01 2.01715400e-09 9.70145247e-01
3.51870953e+00 7.03132641e-01 2.20104213e-02 1.23823253e-01 2.17431915e-09 9.63054708e-01
3.98409345e+00 6.86945020e-01 2.19653392e-02 1.18558360e-01 2.06195860e-09 9.59807441e-01
3.70558380e+00 6.98137994e-01 2.20802369e-02 1.19589666e-01 2.10308691e-09 9.75464402e-01
3.44288441e+00 6.89860038e-01 2.15963589e-02 1.17292587e-01 2.36667437e-09 9.70805825e-01
3.72692577e+00 6.89943463e-01 2.21025863e-02 1.27027117e-01 2.00256892e-09 9.67721588e-01
3.79115975e+00 7.30030710e-01 2.18487469e-02 1.21894018e-01 2.27137434e-09 9.60409203e-01
3.60058064e+00 6.77988593e-01 2.19404936e-02 1.22009636e-01 2.09990126e-09 9.62301759e-01
3.65959166e+00 7.29311463e-01 2.19392743e-02 1.16022080e-01 2.11898900e-09 9.58263882e-01
3.50832385e+00 7.10868118e-01 2.17625471e-02 1.18349433e-01 2.21771253e-09 9.63745183e-01
3.91580632e+00 7.07507765e-01 2.16863722e-02 1.16396454e-01 2.16523455e-09 9.68486401e-01
3.65364323e+00 7.18953624e-01 2.20294535e-02 1.12910178e-01 2.15924196e-09 9.65361302e-01
3.73022429e+00 6.98376106e-01 2.21603795e-02 1.20559381e-01 2.04989972e-09 9.64486790e-01
3.68292119e+00 7.12091556e-01 2.24268190e-02 1.23764751e-01 2.00685432e-09 9.64501330e-01
3.64013926e+00 7.03605126e-01 2.19359260e-02 1.13615488e-01 1.97183010e-09 9.71010343e-01
3.73070760e+00 6.93609267e-01 2.21910188e-02 1.21047984e-01 2.11607929e-09 9.62713277e-01
3.67033201e+00 7.22299601e-01 2.22366537e-02 1.24243764e-01 2.15107126e-09 9.61244864e-01
3.49070077e+00 7.11800599e-01 2.22964370e-02 1.20408472e-01 2.12654380e-09 9.65012772e-01
3.08099770e+00 6.68888613e-01 2.22205992e-02 1.22218946e-01 1.97109884e-09 9.66540967e-01
3.25654165e+00 6.79632937e-01 2.20103271e-02 1.22013195e-01 2.04568138e-09 9.62973286e-01
3.74593057e+00 7.08685467e-01 2.17732653e-02 1.25695813e-01 2.12663515e-09 9.61582942e-01
3.48988069e+00 6.87617803e-01 2.22077867e-02 1.16357557e-01 2.15299526e-09 9.64966114e-01
3.37419235e+00 7.11397084e-01 2.18273217e-02 1.14575423e-01 2.09428484e-09 9.64565516e-01
3.93047682e+00 6.72981438e-01 2.18907807e-02 1.23965601e-01 2.32009974e-09 9.66711599e-01
3.65809366e+00 7.12239062e-01 2.18975098e-02 1.17103077e-01 2.26928819e-09 9.63802644e-01
3.91434544e+00 7.09228881e-01 2.18652341e-02 1.15435855e-01 1.97710820e-09 9.60362870e-01
3.53583420e+00 7.21766952e-01 2.18187594e-02 1.18143392e-01 2.04866216e-09 9.71471351e-01
3.43666988e+00 7.04894392e-01 2.17377812e-02 1.21553626e-01 2.25923737e-09 9.68481596e-01
3.66704987e+00 7.12979198e-01 2.19633696e-02 1.22000965e-01 2.23688264e-09 9.68580367e-01
3.72945867e+00 6.88642426e-01 2.18840965e-02 1.16994206e-01 2.20755192e-09 9.62515431e-01
3.97571114e+00 7.25204799e-01 2.20620102e-02 1.20425609e-01 2.12480130e-09 9.59424642e-01
3.46611274e+00 6.88664171e-01 2.19236442e-02 1.16213812e-01 1.99348970e-09 9.59672695e-01
3.40270936e+00 6.92432177e-01 2.21529424e-02 1.20241438e-01 2.16185100e-09 9.63060316e-01
3.54389395e+00 7.08139258e-01 2.22050376e-02 1.21019007e-01 2.10875240e-09 9.65282793e-01
3.48536948e+00 7.24578519e-01 2.18075596e-02 1.26102227e-01 2.18272826e-09 9.68649882e-01
3.57454153e+00 7.12686333e-01 2.16938203e-02 1.14837194e-01 2.04737717e-09 9.60471064e-01
3.50004057e+00 6.85430738e-01 2.18833712e-02 1.21317163e-01 2.01731392e-09 9.62852528e-01
3.48740397e+00 7.18368096e-01 2.19841201e-02 1.18885501e-01 2.08695405e-09 9.59412010e-01
3.55105722e+00 7.16605078e-01 2.20481642e-02 1.16337212e-01 1.87747200e-09 9.62347732e-01
3.53576105e+00 7.09967763e-01 2.20760678e-02 1.15731859e-01 2.12554522e-09 9.73445149e-01
3.47316201e+00 7.27375115e-01 2.18058701e-02 1.22616981e-01 1.98281048e-09 9.64987361e-01
3.45087903e+00 7.31965818e-01 2.18173200e-02 1.29611648e-01 2.04106397e-09 9.65430630e-01
3.57214050e+00 6.76801485e-01 2.21237930e-02 1.25495562e-01 2.00164953e-09 9.68723775e-01
3.43766487e+00 6.63396875e-01 2.19722540e-02 1.21336353e-01 2.14886750e-09 9.64287607e-01
4.02446294e+00 7.01223839e-01 2.21768222e-02 1.17565977e-01 2.09279483e-09 9.67176265e-01
3.66477711e+00 6.66333497e-01 2.21053721e-02 1.27435165e-01 2.04515805e-09 9.63882411e-01
3.59574020e+00 6.94240195e-01 2.20178349e-02 1.22091431e-01 2.15727964e-09 9.57958513e-01
3.82563588e+00 7.31372124e-01 2.19315446e-02 1.19960748e-01 2.10530718e-09 9.64832226e-01
3.26113750e+00 6.92752383e-01 2.22254905e-02 1.28735321e-01 1.98133772e-09 9.66337079e-01
3.39432224e+00 6.96630088e-01 2.18002103e-02 1.13875395e-01 1.99208889e-09 9.60609072e-01
3.68102951e+00 6.95455436e-01 2.17114416e-02 1.14309699e-01 1.98768352e-09 9.65864822e-01
3.50803014e+00 7.06667834e-01 2.19490515e-02 1.18206795e-01 1.97386562e-09 9.69660591e-01
3.47575015e+00 6.84013630e-01 2.21554467e-02 1.17548381e-01 2.13164467e-09 9.68353181e-01
3.39311537e+00 7.08686081e-01 2.15573733e-02 1.23032161e-01 2.15539326e-09 9.66356923e-01
3.46224874e+00 6.83689479e-01 2.19335160e-02 1.29625931e-01 1.96385720e-09 9.62321526e-01
3.75623977e+00 6.92083732e-01 2.19638527e-02 1.25350032e-01 2.05834162e-09 9.66317253e-01
3.45348022e+00 7.02757776e-01 2.18560656e-02 1.27710561e-01 2.06841869e-09 9.57522637e-01
3.51428420e+00 6.99641897e-01 2.16559430e-02 1.20043467e-01 2.18241696e-09 9.63043281e-01
3.96649848e+00 7.33173369e-01 2.20908209e-02 1.19220144e-01 2.00230859e-09 9.63815647e-01
3.48374512e+00 6.99601181e-01 2.19923800e-02 1.24770518e-01 1.99018730e-09 9.62468342e-01
3.76048283e+00 6.98698785e-01 2.19691584e-02 1.23687633e-01 2.29564632e-09 9.66518825e-01
3.65415597e+00 6.77458546e-01 2.21051924e-02 1.22361100e-01 2.21390957e-09 9.65219416e-01
3.71001558e+00 7.03207610e-01 2.20320603e-02 1.17148402e-01 2.06917283e-09 9.66270541e-01
4.09176838e+00 6.82424459e-01 2.21701369e-02 1.20823421e-01 2.13030046e-09 9.64096164e-01
3.98109100e+00 7.29933883e-01 2.20267923e-02 1.17985370e-01 2.03889578e-09 9.65184198e-01
3.80123320e+00 7.18611370e-01 2.19659338e-02 1.17617405e-01 2.05361581e-09 9.59983372e-01
3.38445061e+00 6.87830754e-01 2.20219940e-02 1.19693832e-01 2.05309913e-09 9.66067356e-01
3.23034570e+00 6.78395029e-01 2.20005878e-02 1.17479645e-01 1.99043339e-09 9.67319260e-01
3.66643290e+00 6.74545446e-01 2.18653362e-02 1.17955981e-01 1.95107018e-09 9.67670948e-01
3.23541082e+00 7.16823549e-01 2.20796549e-02 1.16008947e-01 2.18727287e-09 9.62760394e-01
3.66616394e+00 6.79632422e-01 2.19314426e-02 1.18717298e-01 2.05913246e-09 9.55273625e-01
3.70676210e+00 6.89876665e-01 2.19064866e-02 1.16782798e-01 1.93763308e-09 9.64577346e-01
3.49076097e+00 7.40261343e-01 2.18912551e-02 1.17383411e-01 2.05036243e-09 9.64694282e-01
3.84173578e+00 7.21057212e-01 2.15845734e-02 1.20710550e-01 1.93202280e-09 9.66999974e-01
3.32342181e+00 7.03275100e-01 2.17469592e-02 1.18862681e-01 2.06270958e-09 9.69980692e-01
3.15257789e+00 6.88583528e-01 2.22742489e-02 1.24648082e-01 2.16064807e-09 9.66058053e-01
3.67034006e+00 7.09648735e-01 2.19831780e-02 1.18008628e-01 2.02791943e-09 9.64339718e-01
3.51931299e+00 6.85757811e-01 2.20250214e-02 1.19545533e-01 1.96469346e-09 9.61676114e-01
3.67303801e+00 6.89105274e-01 2.21955899e-02 1.18974470e-01 2.15107833e-09 9.67881132e-01
3.67617534e+00 7.20068014e-01 2.15368890e-02 1.21828985e-01 2.09740933e-09 9.51402753e-01
3.40506858e+00 6.86293753e-01 2.18708284e-02 1.19876963e-01 1.99884825e-09 9.64509381e-01
3.51229656e+00 7.24271715e-01 2.18723928e-02 1.18504219e-01 2.09465678e-09 9.64581570e-01
3.67876211e+00 6.97359251e-01 2.18941501e-02 1.21214199e-01 2.01103956e-09 9.64306616e-01
3.72866033e+00 6.74919845e-01 2.20234495e-02 1.23466175e-01 2.20794638e-09 9.63410101e-01
3.89750120e+00 7.11160229e-01 2.21228701e-02 1.21711857e-01 2.07280410e-09 9.67955035e-01
3.49838594e+00 7.26305462e-01 2.20891861e-02 1.22292767e-01 2.11932615e-09 9.66771697e-01
3.85592381e+00 7.11500167e-01 2.20867872e-02 1.16936823e-01 1.97629768e-09 9.62853110e-01
3.97090741e+00 6.81599898e-01 2.19783597e-02 1.20609987e-01 2.19434935e-09 9.60618942e-01
3.57119436e+00 7.39124642e-01 2.19417656e-02 1.20419144e-01 2.11395682e-09 9.63863683e-01
3.45836089e+00 7.49264759e-01 2.20434906e-02 1.19957762e-01 2.09939553e-09 9.66960375e-01
3.54456281e+00 6.85855734e-01 2.18879786e-02 1.30942109e-01 2.19273347e-09 9.71055625e-01
3.70771992e+00 7.25475361e-01 2.21335752e-02 1.16123176e-01 2.26760913e-09 9.61729402e-01
3.61003766e+00 7.39026243e-01 2.26520766e-02 1.23853203e-01 2.22012064e-09 9.57591996e-01
4.08135569e+00 7.16823518e-01 2.18501638e-02 1.08041036e-01 1.97047106e-09 9.58239221e-01
4.12568815e+00 6.91508271e-01 2.17371257e-02 1.19957630e-01 2.05028251e-09 9.68856083e-01
3.45883347e+00 7.33713298e-01 2.18144312e-02 1.18380639e-01 2.08625908e-09 9.63312000e-01
3.19166090e+00 6.93627256e-01 2.20882025e-02 1.15901601e-01 2.15610555e-09 9.64753984e-01
3.88824902e+00 7.17311871e-01 2.19116039e-02 1.22031684e-01 1.98778664e-09 9.62934488e-01
3.74368181e+00 6.61404471e-01 2.25055878e-02 1.22925480e-01 2.17442358e-09 9.57795282e-01
3.67997620e+00 6.92459999e-01 2.16437526e-02 1.18911190e-01 1.99797683e-09 9.66611161e-01
3.91096626e+00 7.15123630e-01 2.22713732e-02 1.15338457e-01 1.98644210e-09 9.59100415e-01
3.72365672e+00 7.08845419e-01 2.17346075e-02 1.23708181e-01 2.08844283e-09 9.68773915e-01
3.53012686e+00 7.10608237e-01 2.18982552e-02 1.20922574e-01 2.09344306e-09 9.64005130e-01
3.48257282e+00 6.79553525e-01 2.22121321e-02 1.23819073e-01 2.04881765e-09 9.59449278e-01
3.75358049e+00 6.76710196e-01 2.23054140e-02 1.21150170e-01 2.17153593e-09 9.63616779e-01
3.69417724e+00 6.77569706e-01 2.16911270e-02 1.26882053e-01 2.08282760e-09 9.61688639e-01
3.67410954e+00 6.86516656e-01 2.16575320e-02 1.17047395e-01 2.13918125e-09 9.72053612e-01
3.58907406e+00 6.86869885e-01 2.16899827e-02 1.19822614e-01 2.16814698e-09 9.61185096e-01
3.22859675e+00 7.08989906e-01 2.19876536e-02 1.24935658e-01 2.17058296e-09 9.59763692e-01
3.29252405e+00 7.10631017e-01 2.24095146e-02 1.21786765e-01 2.07764437e-09 9.65371339e-01
3.74321511e+00 7.13143958e-01 2.19866504e-02 1.23354557e-01 2.08826118e-09 9.62928822e-01
3.57666085e+00 7.47792895e-01 2.18135093e-02 1.19082678e-01 1.98596699e-09 9.66759678e-01
3.43524849e+00 6.89581400e-01 2.20700564e-02 1.20817581e-01 2.11334453e-09 9.66311618e-01
3.61443063e+00 7.02633552e-01 2.17405082e-02 1.23990987e-01 2.18709549e-09 9.61034988e-01
3.63033974e+00 7.25323027e-01 2.19595063e-02 1.20202870e-01 2.16398694e-09 9.67390377e-01
3.44055079e+00 7.09457586e-01 2.21044712e-02 1.17814607e-01 2.02664632e-09 9.70210944e-01
3.60443971e+00 7.07285745e-01 2.18154323e-02 1.21250623e-01 1.98715030e-09 9.63666048e-01
3.49708986e+00 6.88804362e-01 2.18433185e-02 1.12809260e-01 2.08273304e-09 9.67720861e-01
3.92151567e+00 7.04007611e-01 2.18331865e-02 1.18788049e-01 2.26632607e-09 9.61015177e-01
3.90435196e+00 7.04883501e-01 2.20846661e-02 1.17383839e-01 2.30891544e-09 9.64759121e-01
3.56641347e+00 7.12632684e-01 2.16811374e-02 1.13920254e-01 2.21087523e-09 9.70023410e-01
3.59513406e+00 6.59041215e-01 2.19454687e-02 1.13229538e-01 2.24238302e-09 9.63368441e-01
3.75126642e+00 6.74227965e-01 2.21735069e-02 1.22301132e-01 2.13042052e-09 9.72258329e-01
3.92697165e+00 6.67086147e-01 2.19185672e-02 1.18988939e-01 2.01054104e-09 9.68823370e-01
3.26920323e+00 6.94749448e-01 2.18047812e-02 1.14026374e-01 2.21678578e-09 9.68876005e-01
3.09270254e+00 7.07255086e-01 2.17607708e-02 1.26547895e-01 2.12513431e-09 9.71498492e-01
3.55188653e+00 7.03261042e-01 2.18826662e-02 1.21658459e-01 2.14271855e-09 9.69690229e-01
3.52968552e+00 7.29091852e-01 2.24086638e-02 1.13002764e-01 2.06127651e-09 9.64167704e-01
3.35560861e+00 6.98650809e-01 2.20458011e-02 1.17695065e-01 2.18168954e-09 9.61911231e-01
3.33328483e+00 6.93817615e-01 2.20057116e-02 1.24518419e-01 2.06258267e-09 9.64954395e-01
3.65458485e+00 6.87969111e-01 2.21148529e-02 1.19223538e-01 2.12022246e-09 9.62979504e-01
4.19088789e+00 6.47395061e-01 2.19295094e-02 1.18088769e-01 2.11615944e-09 9.71747331e-01
3.76439296e+00 6.86651886e-01 2.20936978e-02 1.23865370e-01 2.15204428e-09 9.64524381e-01
3.60669967e+00 6.95488308e-01 2.20211475e-02 1.21212964e-01 2.08043136e-09 9.68059745e-01
